VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-10 07:43:49,2016-03-10 07:48:12,1,0.96,-73.97840118408203,40.7830810546875,1,N,-73.96768951416014,40.78954315185546,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
2,2016-03-10 07:44:51,2016-03-10 07:50:59,3,1.12,-73.96956634521484,40.76105880737305,1,N,-73.982177734375,40.751590728759766,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,2016-03-10 07:44:57,2016-03-10 07:57:03,1,2.18,-74.00753021240233,40.7322998046875,1,N,-73.98419952392578,40.749858856201165,1,10.0,0.0,0.5,2.0,0.0,0.3,12.8
2,2016-03-10 07:45:40,2016-03-10 07:58:44,1,1.51,-73.98013305664062,40.74296188354492,1,N,-73.97701263427734,40.75897216796875,1,9.5,0.0,0.5,1.5,0.0,0.3,11.8
2,2016-03-10 07:45:43,2016-03-10 07:57:11,1,1.72,-73.95507049560547,40.77004623413086,1,N,-73.97356414794923,40.75537872314453,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
2,2016-03-10 07:45:49,2016-03-10 07:54:41,1,1.17,-74.00028991699219,40.677932739257805,1,N,-73.99237060546875,40.69187545776367,1,7.0,0.0,0.5,2.5,0.0,0.3,10.3
2,2016-03-10 07:46:31,2016-03-10 07:57:13,1,1.69,-73.94603729248048,40.78049850463867,1,N,-73.96076202392578,40.76483154296875,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
2,2016-03-10 07:47:06,2016-03-10 08:01:47,2,1.83,-73.9534683227539,40.77949905395508,1,N,-73.96981048583984,40.76325988769531,1,11.0,0.0,0.5,2.36,0.0,0.3,14.16
2,2016-03-10 07:47:53,2016-03-10 07:59:25,1,1.28,-73.9735107421875,40.74802017211913,1,N,-73.99188232421875,40.74897003173828,1,8.5,0.0,0.5,2.32,0.0,0.3,11.62
2,2016-03-10 07:48:12,2016-03-10 08:00:05,1,1.05,-73.98902893066406,40.75794982910156,1,N,-73.97698211669923,40.76324844360352,1,9.0,0.0,0.5,1.0,0.0,0.3,10.8
2,2016-03-10 07:49:04,2016-03-10 08:06:30,1,2.51,-73.98763275146483,40.738529205322266,1,N,-73.97804260253906,40.76652908325195,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96
2,2016-03-10 07:49:49,2016-03-10 08:02:27,2,1.95,-73.98837280273438,40.73754119873047,1,N,-73.97624969482422,40.76031875610352,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
2,2016-03-10 07:49:58,2016-03-10 08:13:50,1,2.4,-73.98149871826173,40.765579223632805,1,N,-73.974853515625,40.74198913574219,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
2,2016-03-10 07:50:35,2016-03-10 08:36:21,5,12.07,-73.86849212646483,40.770782470703125,1,N,-73.97759246826173,40.7327537536621,1,37.0,0.0,0.5,10.84,5.54,0.3,54.18
2,2016-03-10 07:50:52,2016-03-10 08:03:45,1,1.12,-73.9522933959961,40.789817810058594,1,N,-73.94841766357422,40.78480911254882,1,9.5,0.0,0.5,1.0,0.0,0.3,11.3
2,2016-03-10 07:51:00,2016-03-10 08:02:44,1,1.66,-73.97305297851561,40.78693008422852,1,N,-73.95652770996092,40.78408050537109,1,9.5,0.0,0.5,2.58,0.0,0.3,12.88
2,2016-03-10 07:52:32,2016-03-10 08:04:36,1,1.59,-73.99027252197266,40.75175094604492,1,N,-73.9728775024414,40.7530632019043,1,9.0,0.0,0.5,2.45,0.0,0.3,12.25
2,2016-03-10 07:52:59,2016-03-10 08:04:55,1,1.27,-73.97611236572266,40.77566909790039,1,N,-73.96859741210938,40.76440048217773,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
2,2016-03-10 07:53:34,2016-03-10 08:02:10,3,1.56,-73.96327209472656,40.76604843139648,1,N,-73.95606231689453,40.78450012207031,1,7.5,0.0,0.5,0.0,0.0,0.3,8.3
2,2016-03-10 07:54:05,2016-03-10 08:07:34,1,2.35,-73.99662017822266,40.72555541992188,1,N,-73.97821044921875,40.7517204284668,1,11.0,0.0,0.5,1.0,0.0,0.3,12.8
2,2016-03-10 07:55:13,2016-03-10 08:00:21,5,1.35,-73.96186828613281,40.7679100036621,1,N,-73.94965362548828,40.784610748291016,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
2,2016-03-10 07:55:42,2016-03-10 08:05:10,5,1.67,0.0,0.0,1,N,0.0,0.0,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
2,2016-03-10 07:57:04,2016-03-10 08:10:30,1,1.3,-73.97055053710938,40.799049377441406,1,N,-73.9563217163086,40.788440704345696,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3
2,2016-03-10 07:58:50,2016-03-10 08:09:11,2,1.26,-73.98551177978516,40.73981857299805,1,N,-74.00308227539062,40.749267578125,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
2,2016-03-10 07:58:51,2016-03-10 08:00:33,1,0.13,0.0,0.0,1,N,0.0,0.0,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8
2,2016-03-10 07:58:56,2016-03-10 08:21:32,1,3.31,-73.99043273925781,40.74615859985352,1,N,-73.96877288818358,40.785926818847656,1,16.5,0.0,0.5,3.46,0.0,0.3,20.76
2,2016-03-10 07:59:17,2016-03-10 08:04:20,1,0.88,-73.98126220703125,40.741188049316406,1,N,-73.97340393066406,40.75235366821289,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
2,2016-03-10 08:00:08,2016-03-10 08:03:03,1,0.69,-73.98951721191406,40.73981094360352,1,N,-73.99626922607422,40.73234176635742,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36
2,2016-03-10 08:00:40,2016-03-10 08:06:22,1,1.07,-73.9654769897461,40.77002716064453,1,N,-73.9734115600586,40.75762939453125,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3
2,2016-03-10 08:01:20,2016-03-10 08:09:50,1,1.84,-73.98212432861328,40.77490615844727,1,N,-73.96916961669923,40.79809188842773,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56
2,2016-03-10 08:01:22,2016-03-10 08:15:39,1,1.7,-73.97046661376953,40.78390884399414,1,N,-73.98211669921875,40.763160705566406,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8
2,2016-03-10 08:01:30,2016-03-10 08:15:39,6,1.35,-73.95941925048828,40.77696990966797,1,N,-73.96923828125,40.7894287109375,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
2,2016-03-10 08:02:10,2016-03-10 08:06:04,5,0.37,-73.97217559814453,40.75693130493164,1,N,-73.96966552734375,40.75709533691406,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
2,2016-03-10 08:02:15,2016-03-10 08:21:15,1,2.02,-73.99413299560547,40.75120162963867,1,N,-73.96943664550781,40.76097869873047,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96
2,2016-03-10 08:02:24,2016-03-10 08:52:45,2,18.79,-73.9806137084961,40.7824592590332,2,N,-73.80476379394531,40.66173553466797,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
2,2016-03-10 08:02:35,2016-03-10 08:14:54,1,2.22,-73.97924041748048,40.74044036865234,1,N,-73.9918670654297,40.71393966674805,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
2,2016-03-10 08:03:05,2016-03-10 08:06:31,1,0.79,-73.94071960449219,40.81441879272461,1,N,-73.95069885253906,40.81167984008789,1,4.5,0.0,0.5,0.0,0.0,0.3,5.3
2,2016-03-10 08:03:40,2016-03-10 08:16:08,1,2.06,0.0,0.0,1,N,0.0,0.0,1,10.5,0.0,0.5,1.0,0.0,0.3,12.3
2,2016-03-10 08:04:35,2016-03-10 08:29:14,1,2.29,-73.98725891113281,40.76847839355469,1,N,-73.95601654052734,40.7653694152832,1,16.5,0.0,0.5,3.46,0.0,0.3,20.76
2,2016-03-10 08:04:48,2016-03-10 08:13:50,6,1.06,-73.99519348144531,40.71712493896485,1,N,-74.00530242919923,40.72641372680664,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
2,2016-03-10 08:04:51,2016-03-10 08:20:13,1,2.53,-73.97989654541014,40.76726913452149,1,N,-73.95632934570312,40.7842903137207,1,12.5,0.0,0.5,1.0,0.0,0.3,14.3
2,2016-03-10 08:05:07,2016-03-10 08:09:26,1,0.93,-74.0066680908203,40.7441291809082,1,N,-73.9957504272461,40.74890899658203,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
2,2016-03-10 08:05:14,2016-03-10 08:13:43,1,1.52,-73.99260711669923,40.72439956665039,1,N,-74.00948333740233,40.720039367675774,1,8.0,0.0,0.5,2.2,0.0,0.3,11.0
2,2016-03-10 08:05:18,2016-03-10 08:23:34,1,4.54,-73.99568939208984,40.7266082763672,1,N,-73.9522705078125,40.73435974121094,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3
2,2016-03-10 08:05:49,2016-03-10 08:19:06,5,1.56,-73.96172332763672,40.75585174560546,1,N,-73.97147369384764,40.76525115966797,1,10.0,0.0,0.5,3.0,0.0,0.3,13.8
2,2016-03-10 08:05:59,2016-03-10 08:13:19,1,1.42,-73.98907470703125,40.721561431884766,1,N,-73.9936294555664,40.73589706420898,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2,2016-03-10 08:06:37,2016-03-10 08:22:53,5,2.77,-74.01461029052734,40.70481872558594,1,N,-73.99463653564453,40.72850036621094,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96
2,2016-03-10 08:08:25,2016-03-10 08:29:03,1,2.34,-73.95675659179686,40.78329849243164,1,N,-73.9690170288086,40.75505828857422,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3
2,2016-03-10 08:09:03,2016-03-10 08:17:30,1,0.75,-73.95140838623048,40.77001953125,1,N,-73.95455932617188,40.7781982421875,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
2,2016-03-10 08:09:07,2016-03-10 08:27:08,1,2.76,-73.9703598022461,40.785640716552734,1,N,-73.98640441894531,40.756832122802734,1,13.5,0.0,0.5,2.14,0.0,0.3,16.44
2,2016-03-10 08:09:13,2016-03-10 08:22:17,1,2.26,-73.96730041503906,40.75674057006836,1,N,-73.94452667236328,40.779441833496094,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8
2,2016-03-10 08:09:15,2016-03-10 08:23:52,1,2.29,-73.98351287841797,40.693973541259766,1,N,-73.94873809814453,40.70256042480469,1,12.0,0.0,0.5,2.56,0.0,0.3,15.36
2,2016-03-10 08:09:27,2016-03-10 08:18:31,1,1.29,-73.99024963378906,40.756851196289055,1,N,-73.9758529663086,40.75579833984375,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
2,2016-03-10 08:09:30,2016-03-10 08:23:08,5,1.35,-73.97843933105469,40.77296829223633,1,N,-73.97205352783203,40.759868621826165,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
